Средство;Широта;Долгота
09 09:19:46  ;  55.533898333 ;  38.188358333  
09 09:19:51  ;  55.531086667 ;  38.19426  
09 09:19:56  ;  55.528206667 ;  38.200316667  
09 09:20:01  ;  55.525351667 ;  38.206411667  
09 09:20:06  ;  55.522745 ;  38.212568333  
09 09:20:11  ;  55.520361667 ;  38.218881667  
09 09:20:16  ;  55.518128333 ;  38.22541  
09 09:20:21  ;  55.516011667 ;  38.232088333  
09 09:20:26  ;  55.513951667 ;  38.23887  
09 09:20:31  ;  55.511878333 ;  38.24579  
09 09:20:36  ;  55.50968 ;  38.252946667  
09 09:20:41  ;  55.507501667 ;  38.260536667  
09 09:20:46  ;  55.505556667 ;  38.268576667  
09 09:20:51  ;  55.5038 ;  38.276908333  
09 09:20:56  ;  55.502043333 ;  38.285385  
09 09:21:01  ;  55.500348333 ;  38.29388  
09 09:21:06  ;  55.498843333 ;  38.302468333  
09 09:21:11  ;  55.497396667 ;  38.311058333  
09 09:21:16  ;  55.49593 ;  38.31954  
09 09:21:21  ;  55.494206667 ;  38.327756667  
09 09:21:26  ;  55.491911667 ;  38.335308333  
09 09:21:31  ;  55.489428333 ;  38.342446667  
09 09:21:36  ;  55.487051667 ;  38.349323333  
09 09:21:41  ;  55.484685 ;  38.356071667  
09 09:21:46  ;  55.482301667 ;  38.362881667  
09 09:21:51  ;  55.480015 ;  38.369858333  
09 09:21:56  ;  55.477895 ;  38.377036667  
09 09:22:01  ;  55.475871667 ;  38.38432  
09 09:22:06  ;  55.473861667 ;  38.39161  
09 09:22:11  ;  55.47188 ;  38.398886667  
09 09:22:16  ;  55.470008333 ;  38.406178333  
09 09:22:21  ;  55.468228333 ;  38.413451667  
09 09:22:26  ;  55.466541667 ;  38.42064  
09 09:22:31  ;  55.464951667 ;  38.42774  
09 09:22:36  ;  55.463426667 ;  38.434741667  
09 09:22:41  ;  55.461965 ;  38.44162  
09 09:22:46  ;  55.46048 ;  38.448501667  
09 09:22:51  ;  55.458985 ;  38.45538  
09 09:22:56  ;  55.457493333 ;  38.462263333  
09 09:23:01  ;  55.456011667 ;  38.469173333  
09 09:23:06  ;  55.454543333 ;  38.476141667  
09 09:23:11  ;  55.453078333 ;  38.483175  
09 09:23:16  ;  55.45161 ;  38.490266667  
09 09:23:21  ;  55.450125 ;  38.497423333  
09 09:23:26  ;  55.448623333 ;  38.504645  
09 09:23:31  ;  55.447118333 ;  38.511953333  
09 09:23:36  ;  55.445603333 ;  38.519356667  
09 09:23:41  ;  55.444078333 ;  38.526851667  
09 09:23:46  ;  55.442546667 ;  38.534423333  
09 09:23:51  ;  55.440998333 ;  38.542023333  
09 09:23:56  ;  55.439486667 ;  38.549596667  
09 09:24:01  ;  55.43801 ;  38.557148333  
09 09:24:06  ;  55.436543333 ;  38.564663333  
09 09:24:11  ;  55.435075 ;  38.572116667  
